dms_code,venue_name,city,state,blacklisted_by,remark
NR2-HR-4592,DM ONLINE EXAMINATION CENTER,ROHTAK,HARYANA,IBIS,CUSTOMER SPECIFIC BLACKLISTED
NR2-PB-4077,GUR SAGAR INTERNATIONAL PUBLIC SCHOOL ONLINE EXAMINATION CENTER,CHANDIGARH,CHANDIGARH,IIBF,CUSTOMER SPECIFIC BLACKLISTED
NR2-PB-4378,LUDHIANA TRADE CENTRE,LUDHIANA,PUNJAB,NTA,CUSTOMER SPECIFIC BLACKLISTED
NR2-PB-4612,UNIVERSAL GROUP OF INSTITUTIONS,S.A.S Nagar,PUNJAB,NTA,CUSTOMER SPECIFIC BLACKLISTED
NR2-RJ-4494,MAHATMA GANDHI COLLAGE OF PHARMACEUTICAL SCIENCES,JAIPUR,RAJASTHAN,CROWN,CUSTOMER SPECIFIC BLACKLISTED
STH-KA-5035,ICRIS PAREEKSHA,BENGALURU,KARNATAKA,DEXIT,CUSTOMER SPECIFIC BLACKLISTED
STH-KA-5036,REVEREND TECHNOLOGIES PVT. LTD.,BENGALURU,KARNATAKA,NTA,CUSTOMER SPECIFIC BLACKLISTED
STH-TN-5139,PRAGYA TECHNOLOGIES,CHENNAI,TAMIL NADU,IIBF,CUSTOMER SPECIFIC BLACKLISTED
WST-GJ-1687,PURVEY IDEAS INFOTECH PVT LTD,BARODA,GUJARAT,DEXIT,CUSTOMER SPECIFIC BLACKLISTED
WST-GJ-2041,SHREY INFOTECH,AHMEDABAD,GUJARAT,DEXIT,COMPLETELY BLACKLISTED
WST-GJ-2044,7CLOUD INFOTECH,BARODA,GUJARAT,DEXIT,COMPLETELY BLACKLISTED
WST-GJ-2045,K.J. INSTITUTE OF ENGINEERING AND TECHNOLOGY,BARODA,GUJARAT,DEXIT,COMPLETELY BLACKLISTED
WST-GJ-2049,VADODRA INSTITUTE OF ENGINEERING,BARODA,GUJARAT,DEXIT,COMPLETELY BLACKLISTED
WST-GJ-2052,AMATYAS GLOBAL IT SOLUTIONS,JAMNAGAR,GUJARAT,GARNET,CUSTOMER SPECIFIC BLACKLISTED
WST-GJ-2059,SUCCESS INFOTECH,RAJKOT,GUJARAT,DEXIT,COMPLETELY BLACKLISTED
WST-GJ-2062,SUTEX BANK COLLEGE OF COMPUTER APPLICATION AND SCIENCE,SURAT,GUJARAT,DEXIT,COMPLETELY BLACKLISTED
WST-GJ-2576,VISION INFOTECH,JUNAGADH,GUJARAT,GARNET,CUSTOMER SPECIFIC BLACKLISTED
WST-MH-2215,RR INFO,MUMBAI/NAVI MUMBAI,MAHARASHTRA,NTA,CUSTOMER SPECIFIC BLACKLISTED
WST-MH-2642,THAKUR VIDHYA MANDIR HIGH SCHOOL AND JUNIOR COLLEGE,MUMBAI/NAVI MUMBAI,MAHARASHTRA,IIBF,CUSTOMER SPECIFIC BLACKLISTED
WST-MH-2818,SAHAKAR VIDYA MANDIR AND JR.COLLEGE,BULDHANA,MAHARASHTRA,-,CUSTOMER SPECIFIC BLACKLISTED
