sr,exam_date,exam_name,dms_code,updated_venue_name
210,10/30/2024,MUDRA,NR2-DL-4526,DELHI NEW DELHI - NR2-DL-4526-NSEIT LIMITED - NEW DELHI
211,10/30/2024,MUDRA,STH-KL-5063,ERNAKULAM - STH-KL-5063-SWEAR ONLINE ASSESSMENT CENTER
212,10/30/2024,MUDRA,WST-GJ-2579,AHMEDABAD - WST-GJ-2579-NSEIT LIMITED - AHMEDABAD
213,11/7/2024,MUDRA ICAI,NR2-DL-4526,DELHI NEW DELHI - NR2-DL-4526-NSEIT LIMITED - NEW DELHI
214,11/7/2024,MUDRA ICAI,STH-KA-5817,BANGALORE - STH-KA-5817-NSEIT LIMITED - BANGALORE
215,11/16/2024,IBIS BCBF DRA,EST-JH-1395,HAZARIBAGH - EST-JH-1395-NSEIT LIMITED - HAZARIBAUG
216,11/16/2024,IBIS BCBF DRA,EST-WB-1441,BERHAMPORE - EST-WB-1441-NSEIT LIMITED - BERHAMPORE
217,11/16/2024,IBIS BCBF DRA,NR1-UP-3531,GORAKHPUR - NR1-UP-3531-BHAGAT SINGH ONLINE EXAMINATION CENTER
218,11/16/2024,IBIS BCBF DRA,NR2-PB-4608,LUDHIANA - NR2-PB-4608-ALPINE INTERNATIONAL SR. SEC. SCHOOL
219,11/16/2024,IBIS BCBF DRA,NR2-RJ-4211,JODHPUR - NR2-RJ-4211-TELNET TECHNOLOGIES
220,11/24/2024,IBIS CA,NR2-HP-4127,HAMIRPUR - NR2-HP-4127-NEW GURUKUL INFOTECH
221,11/24/2024,IBIS CA,NR2-HR-4495,AMBALA CANTT - NR2-HR-4495-A-ONE ONLINE EXAM SOLUTIONS
222,11/24/2024,IBIS CA,NR2-HR-4507,KARNAL - NR2-HR-4507-BUDDHA COLLEGE OF EDUCATION
223,11/24/2024,IBIS CA,NR2-PB-4608,LUDHIANA - NR2-PB-4608-ALPINE INTERNATIONAL SR SEC SCHOOL
224,11/24/2024,IBIS CA,NR2-RJ-4500,JAIPUR - NR2-RJ-4500-SJM COLLEGE ONLINE EXAM CENTRE_1
225,11/24/2024,IBIS CA,NR2-RJ-4500,JAIPUR - NR2-RJ-4500-SJM COLLEGE ONLINE EXAM CENTRE-1
226,12/1/2024,IBIS CA,NR2-HP-4127,HAMIRPUR - NR2-HP-4127-NEW GURUKUL INFOTECH
227,12/1/2024,IBIS CA,NR2-JK-4650,JAMMU - NR2-JK-4650-BN COLLEGE OF EDUCATION
228,12/1/2024,IBIS CA,NR2-PB-4512,PATIALA - NR2-PB-4512-SHRI GURU HARKISHAN COLLEGE OF MANAGEMENT AND TECH ONLINE EXAMINATION CENTRE
229,12/1/2024,IBIS CA,NR2-RJ-4209,JODHPUR - NR2-RJ-4209-SHREE KIRTARAM SHIKSHAN SHANSTHAN
230,12/6/2024,SHIKHAR CTS,NR1-BR-3250,SITAMARHI - NR1-BR-3250-ITI PUPARI SITAMARHI - TBX
231,12/6/2024,SHIKHAR CTS,NR1-BR-3334,SITAMARHI - NR1-BR-3334-EDUTECH SOFT PVT LTD
232,12/6/2024,SHIKHAR CTS,NR1-UP-3691,PRAYAGRAJ - NR1-UP-3691-GOVERNMENT ITI-NAINI-ALLAHABAD-061
233,12/6/2024,SHIKHAR CTS,STH-KA-5433,KOPPAL - STH-KA-5433-GOVT ITI KOPPAL
234,12/6/2024,SHIKHAR CTS,STH-TS-5719,HYDERABAD - STH-TS-5719-NSEIT LIMITED - HYDERABAD
235,12/7/2024,IBIS BCBF DRA,EST-OR-1093,BHUBANESHWAR - EST-OR-1093-RADHA RAMAN ASSESSMENT SERVICES PRIVATE LIMITED
236,12/7/2024,IBIS BCBF DRA,NR2-PB-4473,AMRITSAR - NR2-PB-4473-KHALSA COLLEGE OF ENGINEERING AND TECHNOLOGY
237,12/7/2024,IBIS BCBF DRA,STH-KA-5033,BENGALURU - STH-KA-5033-ARYZE TECHNOLOGIES
238,12/7/2024,IBIS BCBF DRA,WST-CG-2009,BILASPUR - WST-CG-2009-PREEYEM INFOTECH - ABHIYAN ACADEMY
239,12/7/2024,IBIS BCBF DRA,WST-GJ-2040,AHMEDABAD - WST-GJ-2040-SHREE SWAMINARAYAN INSTITUE OF TECHNOLOGY
240,12/8/2024,IBIS CA,NR2-CH-1489,CHANDIGARH - NR2-CH-1489-GSS INTERNATIONAL PUBLIC SCHOOL
241,12/8/2024,IBIS CA,NR2-HP-4127,HAMIRPUR - NR2-HP-4127-NEW GURUKUL INFOTECH
242,12/8/2024,IBIS CA,NR2-RJ-4209,JODHPUR - NR2-RJ-4209-SHREE KIRTARAM SHIKSHAN SHANSTHAN
243,12/8/2024,IBIS CA,NR2-RJ-4582,SIKAR - NR2-RJ-4582-SBS SHIKSHAN PRASIKSHAN COLLEGE
244,12/8/2024,IBIS CA,WST-GJ-2541,AHMEDABAD - WST-GJ-2541-KAAVYARATNA INFO SERVICES_1
245,12/8/2024,IBIS CA,WST-GJ-2541,AHMEDABAD - WST-GJ-2541-KAAVYARATNA INFO SERVICES-1
246,12/14/2024,IBIS CA,NR2-CH-1489,CHANDIGARH - NR2-CH-1489-GSS INTERNATIONAL PUBLIC SCHOOL
247,12/14/2024,IBIS CA,NR2-RJ-4500,JAIPUR - NR2-RJ-4500-SJM COLLEGE ONLINE EXAM CENTRE_1
248,12/14/2024,IBIS CA,NR2-RJ-4500,JAIPUR - NR2-RJ-4500-SJM COLLEGE ONLINE EXAM CENTRE-1
249,12/14/2024,IBIS CA,NR2-UK-4685,DEHRADUN - NR2-UK-4685-MINERVA ONLINE EXAMINATION CENTER INSTITUTE
250,12/14/2024,IBIS CA,STH-TN-5975,CHENNAI - STH-TN-5975-DON BOSCO ARTS AND SCIENCE COLLEGE
251,12/14/2024,IBIS CA,WST-GJ-2541,AHMEDABAD - WST-GJ-2541-KAAVYARATNA INFO SERVICES_1
252,12/14/2024,IBIS CA,WST-GJ-2541,AHMEDABAD - WST-GJ-2541-KAAVYARATNA INFO SERVICES-1
253,12/15/2024,IBIS CA,EST-MN-1055,IMPHAL - EST-MN-1055-MAX DATA CENTER
254,12/15/2024,IBIS CA,NR2-CH-1489,CHANDIGARH - NR2-CH-1489-GSS INTERNATIONAL PUBLIC SCHOOL
255,12/15/2024,IBIS CA,NR2-HP-4127,HAMIRPUR - NR2-HP-4127-NEW GURUKUL INFOTECH
256,12/15/2024,IBIS CA,NR2-RJ-4500,JAIPUR - NR2-RJ-4500-SJM COLLEGE ONLINE EXAM CENTRE_1
257,12/15/2024,IBIS CA,NR2-RJ-4500,JAIPUR - NR2-RJ-4500-SJM COLLEGE ONLINE EXAM CENTRE-1
258,12/15/2024,IBIS CA,NR2-UK-4685,DEHRADUN - NR2-UK-4685-MINERVA ONLINE EXAMINATION CENTER INSTITUTE
259,12/15/2024,NARMADA SWAYAM,STH-AP-5982,KADAPA - STH-AP-5982-GOVT RESIDANTIAL ITI FOR GIRLS - KADAPA
260,12/16/2024,MUDRA,STH-KA-5034,BANGALORE - STH-KA-5034- E MERIT - RT NAGAR
261,12/18/2024,SHIKHAR ATS,EST-JH-1516,EST-JH-1516 - JAMSHEDPUR-NOBEL SPHERE TECHNOLOGIES
262,12/18/2024,SHIKHAR ATS,EST-WB-1413,EST-WB-1413 - DURGAPUR-CONFIANCE
263,12/18/2024,SHIKHAR ATS,NR2-PB-4519,NR2-PB-4519 - PATIALA-NSEIT LIMITED - PATIALA
264,12/21/2024,MUDRA AICITSS,EST-OR-1093,BHUBANESWAR - EST-OR-1093-RADHA RAMAN ASSESSMENT SERVICES PRIVATE LIMITED
265,12/21/2024,MUDRA AICITSS,NR1-UP-3561,LUCKNOW - NR1-UP-3561-NSEIT LIMITED - LUCKNOW
266,12/21/2024,MUDRA AICITSS,STH-KA-5035,BENGALURU - STH-KA-5035-E PAREEKSHA
267,12/21/2024,MUDRA AICITSS,STH-TN-5143,CHENNAI - STH-TN-5143-SRI SAI RAM ENGINEEIRNG COLLEGE
268,12/21/2024,MUDRA AICITSS,WST-CG-2024,RAIPUR - WST-CG-2024-SHREE DIGITAL
269,12/22/2024,IBIS CA,NR2-PB-4608,LUDHIANA - NR2-PB-4608-ALPINE INTERNATIONAL SR SEC SCHOOL
270,12/22/2024,IBIS CA,STH-TN-5702,CHENNAI - STH-TN-5702-MBC ONLINE CENTER
271,12/22/2024,IBIS CA,STH-TN-5975,CHENNAI - STH-TN-5975-DON BOSCO ARTS AND SCIENCE COLLEGE
272,12/27/2024,KAZIRANGA,EST-AS-1009,DIBRUGARH - EST-AS-1009-LAHOWAL COLLEGE
273,12/27/2024,KAZIRANGA,EST-AS-1018,JORHAT - EST-AS-1018-ZENITH INSTITUTE OF TECHNOLOGY
274,12/27/2024,KAZIRANGA,EST-AS-1172,SILCHAR - EST-AS-1172-GOVERNMENT INDUSTRIAL TRAINING INSTITUTE - SRIKONA
275,12/27/2024,KAZIRANGA,EST-AS-1485,DIBRUGARH - EST-AS-1485-BRAHMAPUTRA INDUSTRIAL TRAINING INSTITUTE - TENGAKHAT -PRIVATE
276,12/27/2024,KAZIRANGA,EST-AS-1486,DIBRUGARH - EST-AS-1486-GOVERNMENT INDUSTRIAL TRAINING INSTITUTE - DIBRUGARH
277,1/4/2025,IBIS BCBF DRA,EST-AS-1005,GUWAHATI - EST-AS-1005-FUTURE TECH EDUCATION
278,1/4/2025,IBIS BCBF DRA,STH-AP-5023,VIJAYAWADA - STH-AP-5023-SHREE VIJAYA DURGA IT INFO SOLUTIONS
279,1/4/2025,IBIS BCBF DRA,STH-TN-5702,CHENNAI - STH-TN-5702-MBC ONLINE CENTER
280,1/4/2025,IBIS BCBF DRA,WST-GJ-2564,SURAT - WST-GJ-2564-DECIPHER TECHNOLOGIES
281,1/4/2025,IBIS BCBF DRA,WST-MH-2199,AURANGABAD - WST-MH-2199-BYTEZS INFOTECH
282,1/4/2025,MUDRA,EST-WB-1445,KOLKATA - EST-WB-1445-NSEIT LIMITED - KOLKATA
283,1/4/2025,MUDRA,NR2-UP-3613,NOIDA - NR2-UP-3613-NSEIT LIMITED - NOIDA
284,1/4/2025,MUDRA,STH-TN-5856,CHENNAI - STH-TN-5856-NSEIT LIMITED - CHENNAI
285,1/4/2025,MUDRA,WST-MH-2660,THANE - WST-MH-2660-K.C. COLLEGE OF ENGINEERING AND MANAGEMENT STUDIES AND RESEARCH
286,1/4/2025,MUDRA,WST-MH-2684,MUMBAI - WST-MH-2684-NSEIT LIMITED - MUMBAI
287,1/6/2025,MUDRA,EST-WB-1445,KOLKATA - EST-WB-1445-NSEIT LIMITED - KOLKATA
288,1/6/2025,MUDRA,NR2-DL-4526,DELHI NEW DELHI - NR2-DL-4526-NSEIT LIMITED - NEW DELHI
289,1/6/2025,MUDRA,STH-TS-5719,HYDERABAD - STH-TS-5719-NSEIT LIMITED - HYDERABAD - 1
290,1/6/2025,MUDRA,WST-MH-2684,MUMBAI - WST-MH-2684-NSEIT LIMITED - MUMBAI
291,1/6/2025,MUDRA,WST-MH-2745,THANE - WST-MH-2745-MBC-THANE
292,1/12/2025,IBIS DIP,STH-TN-5856,CHENNAI - STH-TN-5856-NSEIT LIMITED - CHENNAI
293,1/12/2025,IBIS DIP,STH-TN-5861,COIMBATORE - STH-TN-5861-NSEIT LIMITED - COIMBATORE
294,1/18/2025,MUDRA AICITSS,NR2-HR-4098,GURGAON - NR2-HR-4098-DPG DEGREE COLLEGE-BLOCK-D
295,1/18/2025,MUDRA AICITSS,STH-KL-5066,ERNAKULAM - STH-KL-5066-SWEAR ONLINE ASSESSMENT CENTRE
296,1/18/2025,MUDRA AICITSS,STH-TS-5727,HYDERABAD - STH-TS-5727-THE INSTITUTE OF ELECTRONICS AND TELECOMMUNICATION ENGINEERS - IETE
297,1/18/2025,MUDRA AICITSS,WST-GJ-2040,GANDHINAGAR - WST-GJ-2040-SHREE SWAMINARAYAN INSTITUE OF TECHNOLOGY
298,1/18/2025,MUDRA AICITSS,WST-MH-2452,MUMBAI - WST-MH-2452-THAKUR POLYTECHNIC_1
299,1/18/2025,MUDRA AICITSS,WST-MH-2452,MUMBAI - WST-MH-2452-THAKUR POLYTECHNIC - 1
300,1/18/2025,NIA,NR2-DL-4526,DELHI - NR2-DL-4526-NSEIT LIMITED - DELHI
301,1/18/2025,NIA,NR2-RJ-4561,JAIPUR - NR2-RJ-4561-NSEIT LIMITED - JAIPUR
302,1/18/2025,NIA,WST-GA-2348,PANJIM - WST-GA-2348-NSEIT LIMITED - PANJIM
303,1/18/2025,NIA,WST-MH-2684,MUMBAI - WST-MH-2684-NSEIT LIMITED - MUMBAI
304,1/19/2025,IBIS DIP,NR2-DL-4526,NEW DELHI - NR2-DL-4526-NSEIT LIMITED - NEW DELHI
305,1/19/2025,IBIS DIP,NR2-HR-4098,GURUGRAM - NR2-HR-4098-NSEIT LIMITED - GURUGRAM
306,1/19/2025,IBIS DIP,NR2-PB-4515,LUDHIANA - NR2-PB-4515-NSEIT LIMITED - LUDHIANA
307,1/19/2025,IBIS DIP,WST-GJ-2580,VADODARA - WST-GJ-2580-NSEIT LIMITED - BARODA
308,2/1/2025,IBIS BCBF DRA,EST-WB-1449,KOLKATA - EST-WB-1449-MBC BEHALA COLLEGE
309,2/1/2025,IBIS BCBF DRA,STH-KA-5799,BALLARI - STH-KA-5799-SPGU EDUCATION SOCIETY ITI
310,2/1/2025,IBIS BCBF DRA,STH-TN-5139,CHENNAI - STH-TN-5139-PRAGYA TECHNOLOGIES
311,2/1/2025,IBIS BCBF DRA,STH-TS-5315,HYDERABAD - STH-TS-5315-SEZ TECHNOLOGIES AND SOLUTIONS
312,2/1/2025,NIA,NR2-DL-4526,DELHI - NR2-DL-4526-NSEIT LIMITED - DELHI
313,2/1/2025,NIA,STH-TN-5856,CHENNAI - STH-TN-5856-NSEIT LIMITED - CHENNAI
314,2/1/2025,NIA,STH-TS-5719,HYDERABAD - STH-TS-5719-NSEIT LIMITED - HYDERABAD
315,2/1/2025,NIA,WST-MH-2684,MUMBAI - WST-MH-2684-NSEIT LIMITED - MUMBAI
316,2/1/2025,NIA,WST-MH-2685,PUNE - WST-MH-2685-NSEIT LIMITED - PUNE
317,2/3/2025,MUDRA,STH-TN-5856,CHENNAI - STH-TN-5856-NSEIT LIMITED - CHENNAI
318,2/3/2025,MUDRA,STH-TS-5719,HYDERABAD - STH-TS-5719-NSEIT LIMITED - HYDERABAD - 1
319,2/3/2025,MUDRA,WST-MH-2455,MUMBAI - WST-MH-2455-SHAILENDRA EDUCATION SOCIETY
320,2/3/2025,MUDRA,WST-MH-2684,MUMBAI - WST-MH-2684-NSEIT LIMITED - MUMBAI
321,2/3/2025,MUDRA,WST-MH-2726,MUMBAI - WST-MH-2726-HI-TECH LIBRARY
322,2/9/2025,SHIKHAR CITS RPL,EST-OR-1466,BHUBANESHWAR - EST-OR-1466-NSEIT LIMITED - BHUBANESHWAR
323,2/9/2025,SHIKHAR CITS RPL,NR2-HR-4107,HISAR - NR2-HR-4107-VARTMAAN ONLINE SERVICES
324,2/9/2025,SHIKHAR CITS RPL,NR2-PB-4523,BHATINDA - NR2-PB-4523-SSD GIRLS COLLEGE
325,2/9/2025,SHIKHAR CITS RPL,WST-MH-2684,MUMBAI - WST-MH-2684-NSEIT LIMITED - MUMBAI-ANDHERI
326,2/9/2025,SHIKHAR CITS RPL,WST-MP-2587,SEONI - WST-MP-2587-NSEIT LIMITED - SEONI
327,2/14/2025,MUDRA,NR2-DL-4526,DELHI NEW DELHI - NR2-DL-4526-NSEIT LIMITED - NEW DELHI
328,2/14/2025,MUDRA,STH-KA-5817,BANGALORE - STH-KA-5817-NSEIT LIMITED - BANGALORE
329,2/14/2025,MUDRA,STH-TN-5856,CHENNAI - STH-TN-5856-NSEIT LIMITED - CHENNAI
330,2/14/2025,MUDRA,WST-MH-2684,MUMBAI - WST-MH-2684-NSEIT LIMITED - MUMBAI
331,2/15/2025,NIA,NR2-DL-4526,DELHI - NR2-DL-4526-NSEIT LIMITED - DELHI
332,2/15/2025,NIA,STH-TS-5719,HYDERABAD - STH-TS-5719-NSEIT LIMITED - HYDERABAD
333,2/15/2025,NIA,WST-MH-2684,MUMBAI - WST-MH-2684-NSEIT LIMITED - MUMBAI
334,2/15/2025,NIA,WST-MH-2685,PUNE - WST-MH-2685-NSEIT LIMITED - PUNE
335,2/21/2025,MUDRA,STH-KA-5035,BANGALORE - STH-KA-5035-E PAREEKSHA
336,2/21/2025,MUDRA,STH-KL-5743,THRISSUR - STH-KL-5743-NSEIT LIMITED - THRISSUR - 1
337,2/21/2025,MUDRA,STH-TN-5856,CHENNAI - STH-TN-5856-NSEIT LIMITED - CHENNAI
338,2/21/2025,MUDRA,WST-MH-2726,MUMBAI - WST-MH-2726-HI-TECH LIBRARY
339,2/22/2025,MUDRA AICITSS,EST-OR-1093,BHUBANESWAR - EST-OR-1093-RADHA RAMAN ASSESSMENT SERVICES PRIVATE LIMITED
340,2/22/2025,MUDRA AICITSS,STH-KL-5899,KOTTAYAM - STH-KL-5899-ACAMARJYOTHI ACADEMY - KOTTAYAM
341,2/22/2025,MUDRA AICITSS,STH-TN-5702,CHENNAI - STH-TN-5702-MBC ONLINE CENTER
342,2/22/2025,MUDRA AICITSS,STH-TN-5975,CHENNAI - STH-TN-5975-DON BOSCO ARTS AND SCIENCE COLLEGE
343,2/22/2025,MUDRA AICITSS,WST-MP-2132,INDORE - WST-MP-2132-MASIHI KANYA VIDHYALAY
344,2/28/2025,MUDRA,EST-WB-1445,KOLKATA - EST-WB-1445-NSEIT LIMITED - KOLKATA
345,2/28/2025,MUDRA,NR2-DL-4526,DELHI NEW DELHI - NR2-DL-4526-NSEIT LIMITED - NEW DELHI
346,2/28/2025,MUDRA,STH-TN-5856,CHENNAI - STH-TN-5856-NSEIT LIMITED - CHENNAI
347,2/28/2025,MUDRA,STH-TS-5719,HYDERABAD - STH-TS-5719-NSEIT LIMITED - HYDERABAD - 1
348,2/28/2025,MUDRA,WST-MH-2684,MUMBAI - WST-MH-2684-NSEIT LIMITED - MUMBAI
349,3/1/2025,IBIS BCBF DRA,EST-OR-1081,SAMBALPUR - EST-OR-1081-I-TECH
350,3/1/2025,IBIS BCBF DRA,EST-OR-1110,BHUBANESHWAR - EST-OR-1110-SSB EDUTECH
351,3/1/2025,IBIS BCBF DRA,EST-WB-1370,KOLKATA - EST-WB-1370-CONSOLE MANAGEMENT CONSULTANTS PVT. LTD.
352,3/1/2025,IBIS BCBF DRA,WST-MH-1655,PUNE - WST-MH-1655-SKILL HUB INSTITUTE
353,3/1/2025,IBIS BCBF DRA,WST-MH-2726,MUMBAI - WST-MH-2726-HI-TECH LIBRARY
354,3/1/2025,NIA,NR2-DL-4526,DELHI - NR2-DL-4526-NSEIT LIMITED - DELHI
355,3/1/2025,NIA,STH-KA-5817,BANGALORE - STH-KA-5817-NSEIT LIMITED - BANGALORE
356,3/1/2025,NIA,STH-TN-5856,CHENNAI - STH-TN-5856-NSEIT LIMITED - CHENNAI
357,3/1/2025,NIA,STH-TS-5719,HYDERABAD - STH-TS-5719-NSEIT LIMITED - HYDERABAD
358,3/1/2025,NIA,WST-MH-2684,MUMBAI - WST-MH-2684-NSEIT LIMITED - MUMBAI
359,3/2/2025,CAUVERY,STH-TN-1700,CHENNAI - STH-TN-1700-MAHALAKSHMI TECH CAMPUS
360,3/2/2025,CAUVERY,STH-TN-1701,CHENNAI - STH-TN-1701-PRINCE SHRI VENKATESHWARA PADMAVATHY ENGINEERING COLLEGE
361,3/2/2025,CAUVERY,STH-TN-5369,CHENNAI - STH-TN-5369-RAJALAKSHMI ENGINEERING COLLEGE_1
362,3/2/2025,CAUVERY,STH-TN-5369,CHENNAI - STH-TN-5369-RAJALAKSHMI ENGINEERING COLLEGE - 1
363,3/2/2025,CAUVERY,STH-TN-5818,CHENNAI - STH-TN-5818-S A ARTS AND SCIENCE COLLEGE
364,3/2/2025,CAUVERY,STH-TN-5975,CHENNAI - STH-TN-5975-DON BOSCO SIGA COMPLEX
365,3/2/2025,NARMADA CSIR & UGC,NR1-BR-3716,PATNA - NR1-BR-3716-JSCA INFOTECH
366,3/2/2025,NARMADA CSIR & UGC,NR1-UP-1657,PRAYAGRAJ - NR1-UP-1657-STAR EXAM ZONE
367,3/2/2025,NARMADA CSIR & UGC,NR1-UP-3198,VARANASI - NR1-UP-3198-DROTCA-DHANNU RAM ONLINE TEST AND COMPUTER APPLICATION PVT LTD
368,3/2/2025,NARMADA CSIR & UGC,STH-TS-5306,HYDERABAD - STH-TS-5306-CIOS DIGITALS PRIVATE LIMITED
369,3/2/2025,NARMADA CSIR & UGC,WST-CG-1638,RAIPUR - WST-CG-1638-KRISHNAS VIKASH INSTITUTE OF TECHNOLOGY-RAIPUR
370,3/7/2025,MUDRA,NR2-DL-4526,DELHI NEW DELHI - NR2-DL-4526-NSEIT LIMITED - NEW DELHI
371,3/7/2025,MUDRA,NR2-UP-3613,NOIDA - NR2-UP-3613-NSEIT LIMITED - NOIDA
372,3/7/2025,MUDRA,STH-TN-5856,CHENNAI - STH-TN-5856-NSEIT LIMITED - CHENNAI
373,3/7/2025,MUDRA,STH-TN-5861,COIMBATORE - STH-TN-5861-NSEIT LIMITED - COIMBATORE - 1
374,3/7/2025,MUDRA,WST-MH-2684,MUMBAI - WST-MH-2684-NSEIT LIMITED - MUMBAI
375,3/8/2025,MUDRA,NR2-RJ-4567,NAGAUR - NR2-RJ-4567-NSEIT LIMITED - NAGAUR
376,3/8/2025,MUDRA,STH-KA-5035,BANGALORE - STH-KA-5035-E PAREEKSHA
377,3/8/2025,MUDRA,STH-KL-5745,KOZHIKODE - STH-KL-5745-NSEIT LIMITED - KOZHIKODE
378,3/8/2025,MUDRA,STH-TS-5719,HYDERABAD - STH-TS-5719-NSEIT LIMITED - HYDERABAD - 1
379,3/8/2025,MUDRA,WST-MH-2684,MUMBAI - WST-MH-2684-NSEIT LIMITED - MUMBAI
380,3/27/2025,SHIKHAR ATS,EST-JH-1046,JAMSHEDPUR - EST-JH-1046-NATIONAL INSTITUTE OF EXCELLENCE
381,3/27/2025,SHIKHAR ATS,EST-OR-1466,BHUBANESHWAR - EST-OR-1466-NSEIT LIMITED - BHUBANESHWAR
382,3/27/2025,SHIKHAR ATS,EST-WB-1443,KHARAGPUR - EST-WB-1443-NSEIT LIMITED - KHARAGPUR
383,3/27/2025,SHIKHAR ATS,NR1-BR-3213,BEGUSARAI - NR1-BR-3213-JAY ONLINE SERVICES
384,3/27/2025,SHIKHAR ATS,WST-GJ-2575,BARODA - WST-GJ-2575-BINARY BIT TECHNOLOGY
385,3/29/2025,MUDRA AICITSS,STH-KA-5035,BENGALURU - STH-KA-5035-E PAREEKSHA
386,3/29/2025,MUDRA AICITSS,STH-KL-5064,ERNAKULAM - STH-KL-5064-RAJAGIRI SCHOOL OF ENGINEERING AND TECHNOLOGY
387,3/29/2025,MUDRA AICITSS,STH-TN-5139,CHENNAI - STH-TN-5139-PRAGYA TECHNOLOGIES
388,3/29/2025,MUDRA AICITSS,STH-TN-5702,CHENNAI - STH-TN-5702-MBC ONLINE CENTER
389,3/29/2025,MUDRA AICITSS,WST-CG-2026,RAIPUR - WST-CG-2026-TECHSOLVE DESIGNING AND GRAFIX SOLUTION
390,3/31/2025,MUDRA,STH-TN-5856,CHENNAI - STH-TN-5856-NSEIT LIMITED - CHENNAI
391,3/31/2025,MUDRA,WST-MH-2684,MUMBAI - WST-MH-2684-NSEIT LIMITED - MUMBAI
392,3/31/2025,MUDRA,WST-MH-2806,VASAI - WST-MH-2806-NSEIT LIMITED - VIRAR - 1
393,6/1/2025,IBIS CA,EST-JH-1177,DALTONGANJ - EST-JH-1177-APTECH COMPUTER EDUCATION
394,6/1/2025,IBIS CA,NR2-CH-1489,CHANDIGARH - NR2-CH-1489-GSS INTERNATIONAL PUBLIC SCHOOL
395,6/1/2025,IBIS CA,NR2-HP-4127,HAMIRPUR - NR2-HP-4127-NEW GURUKUL INFOTECH
396,6/1/2025,IBIS CA,NR2-JK-4488,JAMMU - NR2-JK-4488-DIGITAL COMPUTER EDUCATION
397,6/1/2025,IBIS CA,NR2-RJ-1635,SIKAR - NR2-RJ-1635-JAN SHIKSHAN SANSTHAN
398,6/1/2025,IBIS CA,NR2-RJ-1731,SAWAI MADHOPUR - NR2-RJ-1731-DEV IT SKILL
399,6/1/2025,IBIS CA,NR2-RJ-4209,JODHPUR - NR2-RJ-4209-SHREE KIRTARAM SHIKSHAN SANTHAN
400,6/1/2025,IBIS CA,WST-MH-2452,MUMBAI - WST-MH-2452-THAKUR POLYTECHNIC-1
401,6/1/2025,IBIS CA,WST-MH-2641,MUMBAI - WST-MH-2641-VASANTDADA PATIL PRATISHTHANS COLLEGE OF ENGINEERING AND VISUAL ARTS
402,6/1/2025,MUDRA,EST-WB-1445,KOLKATA - EST-WB-1445-NSEIT LIMITED - KOLKATA
403,6/1/2025,MUDRA,STH-TN-5856,CHENNAI - STH-TN-5856-NSEIT LIMITED - CHENNAI
404,6/1/2025,MUDRA,STH-TN-5861,COIMBATORE - STH-TN-5861-NSEIT LIMITED - COIMBATORE - 1
405,6/1/2025,MUDRA,WST-MH-2684,MUMBAI - WST-MH-2684-NSEIT LIMITED - MUMBAI
406,6/1/2025,MUDRA,WST-MH-2806,VASAI - WST-MH-2806-NSEIT LIMITED - VIRAR - 1
407,6/3/2025,DAFFODIL,NR2-CH-4693,CHANDIGARH - NR2-CH-4693-BALAJI COMPUTERS
408,6/3/2025,DAFFODIL,NR2-CH-4695,CHANDIGARH - NR2-CH-4695-AXIS NETWORKS
409,6/3/2025,DAFFODIL,NR2-DL-4685,DELHI NCR - NR2-DL-4685-LAXMI PUBLIC SCHOOL
410,6/3/2025,DAFFODIL,NR2-DL-4702,DELHI NCR - NR2-DL-4702-DELHI ENGLISH ACADEMY ONLINE EXAM CENTER
411,6/3/2025,DAFFODIL,NR2-PB-4504,CHANDIGARH - NR2-PB-4504-DASHMESH KHALSA COLLEGE
412,6/7/2025,NIA,NR2-DL-4526,DELHI - NR2-DL-4526-NSEIT LIMITED - DELHI JHANDEWALAN
413,6/7/2025,NIA,STH-KA-5817,BANGALORE - STH-KA-5817-NSEIT LIMITED - BANGALORE
414,6/7/2025,NIA,STH-TN-5856,CHENNAI - STH-TN-5856-NSEIT LIMITED - CHENNAI
415,6/7/2025,NIA,WST-MH-2684,MUMBAI - WST-MH-2684-NSEIT LIMITED - MUMBAI ANDHERI
416,6/7/2025,NIA,WST-MH-2685,PUNE - WST-MH-2685-NSEIT LIMITED - PUNE
417,6/8/2025,CHETTINAD,NR1-BR-3746,PATNA - NR1-BR-3746-INFRAZONE SOLUTIONS
418,6/8/2025,CHETTINAD,NR1-UP-1756,LUCKNOW - NR1-UP-1756-UMA INSTITUTE OF MANAGEMENT OF TECHNOLOGY
419,6/8/2025,CHETTINAD,NR1-UP-3299,KANPUR - NR1-UP-3299-UNZIP TECHNOLOGY_1
420,6/8/2025,CHETTINAD,NR1-UP-3299,KANPUR - NR1-UP-3299-UNZIP TECHNOLOGY - 1
421,6/8/2025,CHETTINAD,NR1-UP-3735,VARANASI - NR1-UP-3735-WEBDIZ INFOTECH PVT.LTD
422,6/8/2025,CHETTINAD,NR2-DL-4524,DELHI - NR2-DL-4524-HOLY INTERNATIONAL EXAM CENTRE
423,6/14/2025,IBIS CA,EST-JH-1177,DALTONGANJ - EST-JH-1177-APTECH COMPUTER EDUCATION
424,6/14/2025,IBIS CA,NR2-CH-1489,CHANDIGARH - NR2-CH-1489-GSS INTERNATIONAL PUBLIC SCHOOL
425,6/14/2025,IBIS CA,NR2-HP-4127,HAMIRPUR - NR2-HP-4127-NEW GURUKUL INFOTECH
