sr,dms_code,venue_name,city,state,blacklisted_by,remark
48,NR1-BR-3055,SIMPLE INFOTECH PVT LTD,PATNA,BIHAR,-,Customer Specific Blacklisted
49,NR1-BR-3242,GOPAL NARAYAN SINGH UNIVERSITY,ROHTAS,BIHAR,-,Customer Specific Blacklisted
50,NR1-UP-3070,RBS INSTITUTE,AGRA,UTTAR PRADESH,-,Customer Specific Blacklisted
51,NR1-UP-3293,ROHILKHAND COMPUTER TRANING INSTITUTE BIJNOR,BIJNOR,UTTAR PRADESH,-,Customer Specific Blacklisted
52,NR1-UP-3346,INSTITUTE OF EDUCATIONAL AND SOCIAL REFORMS,JAUNPUR,UTTAR PRADESH,-,Customer Specific Blacklisted
53,NR1-UP-3461,JAN KALYAN SEWA SAMITI,JAUNPUR,UTTAR PRADESH,-,Customer Specific Blacklisted
54,NR1-UP-3327,SACRED HEART INSTITUTE OF MANAGEMENT AND TECHNOLGY,SITAPUR,UTTAR PRADESH,-,Customer Specific Blacklisted
55,NR1-UP-3196,GYANGANGA INSTITUTE OF TECHNOLOGY,VARANASI,UTTAR PRADESH,-,Customer Specific Blacklisted
56,NR1-UP-3200,AGM INFOTECH,VARANASI,UTTAR PRADESH,-,Customer Specific Blacklisted
57,NR1-UP-3201,COMPUTER INSTITUTE OF TECHNOLOGY,VARANASI,UTTAR PRADESH,-,Customer Specific Blacklisted
58,NR2-CH-4065,DIGITAL GLOBAL INTERNET TECHNOLOGY PVT LTD,CHANDIGARH,CHANDIGARH,-,Customer Specific Blacklisted
59,NR2-CH-4070,VINAYAK WEB SOLUTION,CHANDIGARH,CHANDIGARH,-,Customer Specific Blacklisted
60,NR2-DL-4012,SBN 30 ONLINE TEST CENTER,NEW DELHI,DELHI,-,Customer Specific Blacklisted
61,NR2-DL-4039,MAFINGA ASSESSMENT CENTRE,NEW DELHI,DELHI,-,Customer Specific Blacklisted
62,NR2-DL-4063,AZTECH ONLINE TEST CENTRE,NEW DELHI,DELHI,-,Customer Specific Blacklisted
63,NR2-DL-4491,INDER SINGH PUBLIC SCHOOL,NEW DELHI,DELHI,-,Customer Specific Blacklisted
64,NR2-DL-4502,S D PUBLIC SCHOOL,NEW DELHI,DELHI,-,Customer Specific Blacklisted
65,NR2-DL-4588,TITIKSHA PUBLIC SCHOOL,NORTH WEST,DELHI,-,Customer Specific Blacklisted
66,NR2-HR-4592,DM ONLINE EXAMINATION CENTER,ROHTAK,HARYANA,-,Customer Specific Blacklisted
67,NR2-HR-4124,WEBINFOTRON TECHNOLOGIES PVT. LTD.,SONIPAT,HARYANA,-,Customer Specific Blacklisted
68,NR2-HP-4439,DIGITAL VISION ONLINE PVT LTD,SHIMLA,HIMACHAL PRADESH,-,Customer Specific Blacklisted
69,NR2-HP-4137,DEV BHOOMI DIGITAL SOURCES,SOLAN,HIMACHAL PRADESH,-,Customer Specific Blacklisted
70,NR2-HP-4138,GREEN HILLS ENGINEERING COLLEGE,SOLAN,HIMACHAL PRADESH,-,Customer Specific Blacklisted
71,NR2-JK-4478,INFINITE NETWORK SOLUTIONS,JAMMU,JAMMU AND KASHMIR,-,Customer Specific Blacklisted
72,NR2-PB-4499,MAHANT GURBANTA DASS MEMORIAL SCHOOL OF NURSING,BATHINDA,PUNJAB,-,Customer Specific Blacklisted
73,NR2-PB-4508,SWAMI DAYANAND COLLEGE OF EDUCATION,BHATINDA,PUNJAB,-,Customer Specific Blacklisted
74,NR2-PB-4075,BALAJI COMPUTERS,CHANDIGARH,PUNJAB,-,Customer Specific Blacklisted
75,NR2-PB-4078,SPR EXAM SOLUTION PVT LTD,CHANDIGARH,PUNJAB,-,Customer Specific Blacklisted
76,NR2-PB-4498,PUNJAB GROUP OF COLLEGES,SAHIBZADA AJIT SINGH NAGAR (MOHALI),PUNJAB,-,Customer Specific Blacklisted
77,WST-GJ-2576,VISION INFOTECH,JUNAGADH,GUJARAT,GARNET,Customer Specific Blacklisted
