sr,exam_date,project_name,dms_code,city,state,region,month
1,01-04-2025,MUDRA SPMT,EST-WB-1445,KOLKATA,WEST BENGAL,EAST,April
2,01-04-2025,MUDRA SPMT,NR1-BR-3470,PATNA,BIHAR,NORTH ONE,April
3,01-04-2025,MUDRA SPMT,NR1-UP-3554,AGRA,UTTAR PRADESH,NORTH ONE,April
4,01-04-2025,MUDRA SPMT,NR1-UP-3561,LUCKNOW,UTTAR PRADESH,NORTH ONE,April
5,01-04-2025,MUDRA SPMT,NR2-DL-4526,DELHI,DELHI,NORTH TWO,April
6,01-04-2025,MUDRA SPMT,NR2-HR-4098,GURGAON (GURUGRAM),Delhi NCR,NORTH TWO,April
7,01-04-2025,MUDRA SPMT,NR2-PB-4514,CHANDIGARH,PUNJAB,NORTH TWO,April
8,01-04-2025,MUDRA SPMT,NR2-PB-4515,LUDHIANA,PUNJAB,NORTH TWO,April
9,01-04-2025,MUDRA SPMT,NR2-RJ-4559,UDAIPUR RAJASTHAN,RAJASTHAN,NORTH TWO,April
10,01-04-2025,MUDRA SPMT,NR2-RJ-4561,JAIPUR,RAJASTHAN,NORTH TWO,April
11,01-04-2025,MUDRA SPMT,NR2-RJ-4565,JODHPUR,RAJASTHAN,NORTH TWO,April
12,01-04-2025,MUDRA SPMT,NR2-RJ-4573,KOTA,RAJASTHAN,NORTH TWO,April
13,01-04-2025,MUDRA SPMT,NR2-UP-3613,NOIDA DELHI NCR,DELHI NCR,NORTH TWO,April
14,01-04-2025,MUDRA SPMT,STH-AP-5751,VISAKHAPATNAM (VIZAG),ANDHRA PRADESH,SOUTH,April
15,01-04-2025,MUDRA SPMT,STH-AP-5761,VIJAYAWADA,ANDHRA PRADESH,SOUTH,April
16,01-04-2025,MUDRA SPMT,STH-AP-5905,GUNTUR,ANDHRA PRADESH,SOUTH,April
17,01-04-2025,MUDRA SPMT,STH-KL-5742,COCHIN (ERNAKULAM),KERALA,SOUTH,April
18,01-04-2025,MUDRA SPMT,STH-KL-5743,THRISSUR,KERALA,SOUTH,April
19,01-04-2025,MUDRA SPMT,STH-TN-5856,CHENNAI,TAMIL NADU,SOUTH,April
20,01-04-2025,MUDRA SPMT,STH-TN-5861,COIMBATORE,TAMIL NADU,SOUTH,April
21,01-04-2025,MUDRA SPMT,STH-TS-5719,HYDERABAD,TELANGANA,SOUTH,April
22,01-04-2025,MUDRA SPMT,WST-CG-2544,RAIPUR,CHHATTISGARH,WEST,April
23,01-04-2025,MUDRA SPMT,WST-GJ-2580,VADODARA (BARODA),GUJARAT,WEST,April
24,01-04-2025,MUDRA SPMT,WST-GJ-2582,RAJKOT,GUJARAT,WEST,April
25,01-04-2025,MUDRA SPMT,WST-MH-1620,PIMPRI-CHINCHWAD,MAHARASHTRA,WEST,April
26,01-04-2025,MUDRA SPMT,WST-MH-2684,MUMBAI ANDHERI,MAHARASHTRA,WEST,April
27,01-04-2025,MUDRA SPMT,WST-MH-2685,PUNE,MAHARASHTRA,WEST,April
28,01-04-2025,MUDRA SPMT,WST-MH-2687,NASHIK,MAHARASHTRA,WEST,April
29,01-04-2025,MUDRA SPMT,WST-MH-2688,AURANGABAD MAHARASHTRA,MAHARASHTRA,WEST,April
30,01-04-2025,MUDRA SPMT,WST-MH-2690,NAVI MUMBAI,MAHARASHTRA,WEST,April
31,01-04-2025,MUDRA SPMT,WST-MH-2806,VASAI,MAHARASHTRA,WEST,April
32,01-04-2025,MUDRA SPMT,WST-MP-2585,INDORE,MADHYA PRADESH,WEST,April
33,01-06-2025,ECO 5,EST-AS-1420,GUWAHATI,ASSAM,EAST,June
34,01-06-2025,ECO 5,EST-JH-1398,RANCHI,JHARKHAND,EAST,June
35,01-06-2025,ECO 5,EST-OR-1466,BHUBANESWAR,ODISHA,EAST,June
36,01-06-2025,ECO 5,EST-WB-1445,KOLKATA,WEST BENGAL,EAST,June
37,01-06-2025,ECO 5,NR1-BR-3470,PATNA,BIHAR,NORTH ONE,June
38,01-06-2025,ECO 5,NR1-UP-3561,LUCKNOW,UTTAR PRADESH,NORTH ONE,June
39,01-06-2025,ECO 5,NR1-UP-3562,KANPUR,UTTAR PRADESH,NORTH ONE,June
40,01-06-2025,ECO 5,NR2-DL-4526,DELHI,DELHI,NORTH TWO,June
41,01-06-2025,ECO 5,NR2-PB-4514,CHANDIGARH,PUNJAB,NORTH TWO,June
42,01-06-2025,ECO 5,NR2-RJ-4561,JAIPUR,RAJASTHAN,NORTH TWO,June
43,01-06-2025,ECO 5,STH-AP-5761,VIJAYAWADA,ANDHRA PRADESH,SOUTH,June
44,01-06-2025,ECO 5,STH-KA-5817,BENGALURU,KARNATAKA,SOUTH,June
45,01-06-2025,ECO 5,STH-KL-5742,COCHIN  (ERNAKULAM),KERALA,SOUTH,June
46,01-06-2025,ECO 5,STH-TN-5856,CHENNAI,TAMIL NADU,SOUTH,June
47,01-06-2025,ECO 5,STH-TN-5857,MADURAI,TAMIL NADU,SOUTH,June
48,01-06-2025,ECO 5,STH-TN-5859,TIRUCHIRAPPALLI (TRICHY),TAMIL NADU,SOUTH,June
49,01-06-2025,ECO 5,STH-TN-5861,COIMBATORE,TAMIL NADU,SOUTH,June
50,01-06-2025,ECO 5,STH-TS-5719,HYDERABAD,TELANGANA,SOUTH,June
51,01-06-2025,ECO 5,WST-CG-2544,RAIPUR,CHHATTISGARH,WEST,June
52,01-06-2025,ECO 5,WST-GJ-2579,AHMEDABAD,GUJARAT,WEST,June
53,01-06-2025,ECO 5,WST-GJ-2580,VADODARA (BARODA),GUJARAT,WEST,June
54,01-06-2025,ECO 5,WST-GJ-2581,SURAT,GUJARAT,WEST,June
55,01-06-2025,ECO 5,WST-MH-2684,MUMBAI ANDHERI,MAHARASHTRA,WEST,June
56,01-06-2025,ECO 5,WST-MH-2685,PUNE,MAHARASHTRA,WEST,June
57,01-06-2025,ECO 5,WST-MH-2686,NAGPUR,MAHARASHTRA,WEST,June
58,01-06-2025,ECO 5,WST-MH-2687,NASHIK,MAHARASHTRA,WEST,June
59,01-06-2025,ECO 5,WST-MH-2690,NAVI MUMBAI,MAHARASHTRA,WEST,June
60,01-06-2025,ECO 5,WST-MP-2589,BHOPAL,MADHYA PRADESH,WEST,June
61,01-06-2025,IBIS CA,EST-AS-1009,DIBRUGARH,ASSAM,EAST,June
62,01-06-2025,IBIS CA,EST-AS-1168,NAGAON,ASSAM,EAST,June
63,01-06-2025,IBIS CA,EST-AS-1379,SILCHAR,ASSAM,EAST,June
64,01-06-2025,IBIS CA,EST-AS-1401,TEZPUR,ASSAM,EAST,June
65,01-06-2025,IBIS CA,EST-AS-1417,DHUBRI,ASSAM,EAST,June
66,01-06-2025,IBIS CA,EST-JH-1035,BOKARO,JHARKHAND,EAST,June
67,01-06-2025,IBIS CA,EST-JH-1177,DALTONGANJ,JHARKHAND,EAST,June
68,01-06-2025,IBIS CA,EST-JH-1391,SAHIBGANJ,JHARKHAND,EAST,June
69,01-06-2025,IBIS CA,EST-JH-1512,DHANBAD,JHARKHAND,EAST,June
70,01-06-2025,IBIS CA,EST-JH-1588,JAMSHEDPUR,JHARKHAND,EAST,June
71,01-06-2025,IBIS CA,EST-ML-1198,TURA,MEGHALAYA,EAST,June
72,01-06-2025,IBIS CA,EST-MN-1055,IMPHAL,MANIPUR,EAST,June
73,01-06-2025,IBIS CA,EST-MZ-1200,AIZAWL,MIZORAM,EAST,June
74,01-06-2025,IBIS CA,EST-NL-1275,KOHIMA,NAGALAND,EAST,June
75,01-06-2025,IBIS CA,EST-OR-1080,ROURKELA,ODISHA,EAST,June
76,01-06-2025,IBIS CA,EST-WB-1146,SILIGURI,WEST BENGAL,EAST,June
77,01-06-2025,IBIS CA,EST-WB-1148,BARDDHAMAN,WEST BENGAL,EAST,June
78,01-06-2025,IBIS CA,EST-WB-1375,MIDNAPORE,WEST BENGAL,EAST,June
79,01-06-2025,IBIS CA,EST-WB-1387,ASANSOL,WEST BENGAL,EAST,June
80,01-06-2025,IBIS CA,EST-WB-1403,KHARAGPUR,WEST BENGAL,EAST,June
81,01-06-2025,IBIS CA,EST-WB-1408,COOCH BEHAR,WEST BENGAL,EAST,June
82,01-06-2025,IBIS CA,NR1-BR-1616,GAYA,BIHAR,NORTH ONE,June
83,01-06-2025,IBIS CA,NR1-BR-1617,DARBHANGA,BIHAR,NORTH ONE,June
84,01-06-2025,IBIS CA,NR1-BR-3233,SAHARSA,BIHAR,NORTH ONE,June
85,01-06-2025,IBIS CA,NR1-BR-3235,MOTIHARI,BIHAR,NORTH ONE,June
86,01-06-2025,IBIS CA,NR1-BR-3242,SASARAM,BIHAR,NORTH ONE,June
87,01-06-2025,IBIS CA,NR1-BR-3592,BEGUSARAI,BIHAR,NORTH ONE,June
88,01-06-2025,IBIS CA,NR1-BR-3627,PATNA,BIHAR,NORTH ONE,June
89,01-06-2025,IBIS CA,NR1-UP-3102,BAREILLY,UTTAR PRADESH,NORTH ONE,June
90,01-06-2025,IBIS CA,NR1-UP-3182,MORADABAD,UTTAR PRADESH,NORTH ONE,June
91,01-06-2025,IBIS CA,NR1-UP-3255,AZAMGARH,UTTAR PRADESH,NORTH ONE,June
92,01-06-2025,IBIS CA,NR1-UP-3274,MEERUT,UTTAR PRADESH,NORTH ONE,June
93,01-06-2025,IBIS CA,NR1-UP-3281,SHAHJAHANPUR,UTTAR PRADESH,NORTH ONE,June
94,01-06-2025,IBIS CA,NR1-UP-3565,MUZAFFARNAGAR,UTTAR PRADESH,NORTH ONE,June
95,01-06-2025,IBIS CA,NR1-UP-3585,GONDA,UTTAR PRADESH,NORTH ONE,June
96,01-06-2025,IBIS CA,NR1-UP-3618,FAIZABAD,UTTAR PRADESH,NORTH ONE,June
97,01-06-2025,IBIS CA,NR1-UP-3707,JAUNPUR,UTTAR PRADESH,NORTH ONE,June
98,01-06-2025,IBIS CA,NR1-UP-3740,GHAZIPUR,UTTAR PRADESH,NORTH ONE,June
99,01-06-2025,IBIS CA,NR2-CH-1489,CHANDIGARH,PUNJAB,NORTH TWO,June
100,01-06-2025,IBIS CA,NR2-DL-4501,DELHI,DELHI,NORTH TWO,June
101,01-06-2025,IBIS CA,NR2-DL-4510,DELHI,DELHI,NORTH TWO,June
102,01-06-2025,IBIS CA,NR2-HP-1679,SHIMLA,HIMACHAL PRADESH,NORTH TWO,June
103,01-06-2025,IBIS CA,NR2-HP-4127,HAMIRPUR HIMACHAL PRADESH,HIMACHAL PRADESH,NORTH TWO,June
104,01-06-2025,IBIS CA,NR2-HP-4629,PALAMPUR HIMACHAL PRADESH,HIMACHAL PRADESH,NORTH TWO,June
105,01-06-2025,IBIS CA,NR2-HR-1724,KARNAL,HARYANA,NORTH TWO,June
106,01-06-2025,IBIS CA,NR2-HR-4094,FARIDABAD,DELHI NCR,NORTH TWO,June
107,01-06-2025,IBIS CA,NR2-HR-4098,GURGAON (GURUGRAM),DELHI NCR,NORTH TWO,June
108,01-06-2025,IBIS CA,NR2-HR-4487,YAMUNANAGAR,HARYANA,NORTH TWO,June
109,01-06-2025,IBIS CA,NR2-HR-4620,AMBALA,HARYANA,NORTH TWO,June
110,01-06-2025,IBIS CA,NR2-JK-4333,SRINAGAR,JAMMU AND KASHMIR,NORTH TWO,June
111,01-06-2025,IBIS CA,NR2-JK-4353,RAJOURI,JAMMU AND KASHMIR,NORTH TWO,June
112,01-06-2025,IBIS CA,NR2-JK-4359,BARAMULLA,JAMMU AND KASHMIR,NORTH TWO,June
113,01-06-2025,IBIS CA,NR2-JK-4488,JAMMU,JAMMU AND KASHMIR,NORTH TWO,June
114,01-06-2025,IBIS CA,NR2-JK-4682,UDHAMPUR,JAMMU AND KASHMIR,NORTH TWO,June
115,01-06-2025,IBIS CA,NR2-PB-4370,FEROZEPUR,PUNJAB,NORTH TWO,June
116,01-06-2025,IBIS CA,NR2-PB-4378,LUDHIANA,PUNJAB,NORTH TWO,June
117,01-06-2025,IBIS CA,NR2-PB-4384,PATHANKOT,PUNJAB,NORTH TWO,June
118,01-06-2025,IBIS CA,NR2-PB-4387,PATIALA,PUNJAB,NORTH TWO,June
119,01-06-2025,IBIS CA,NR2-PB-4473,AMRITSAR,PUNJAB,NORTH TWO,June
120,01-06-2025,IBIS CA,NR2-PB-4502,JALANDHAR,PUNJAB,NORTH TWO,June
121,01-06-2025,IBIS CA,NR2-PB-4523,BHATINDA,PUNJAB,NORTH TWO,June
122,01-06-2025,IBIS CA,NR2-RJ-1635,SIKAR,RAJASTHAN,NORTH TWO,June
123,01-06-2025,IBIS CA,NR2-RJ-1731,SAWAI MADHOPUR,RAJASTHAN,NORTH TWO,June
124,01-06-2025,IBIS CA,NR2-RJ-4178,BHILWARA,RAJASTHAN,NORTH TWO,June
125,01-06-2025,IBIS CA,NR2-RJ-4180,BIKANER,RAJASTHAN,NORTH TWO,June
126,01-06-2025,IBIS CA,NR2-RJ-4209,JODHPUR,RAJASTHAN,NORTH TWO,June
127,01-06-2025,IBIS CA,NR2-RJ-4494,JAIPUR,RAJASTHAN,NORTH TWO,June
128,01-06-2025,IBIS CA,NR2-RJ-4583,UDAIPUR RAJASTHAN,RAJASTHAN,NORTH TWO,June
129,01-06-2025,IBIS CA,NR2-UK-4266,HARIDWAR,UTTARAKHAND,NORTH TWO,June
130,01-06-2025,IBIS CA,NR2-UK-4685,DEHRADUN,UTTARAKHAND,NORTH TWO,June
131,01-06-2025,IBIS CA,NR2-UP-1725,GHAZIABAD,DELHI NCR,NORTH TWO,June
132,01-06-2025,IBIS CA,STH-AP-5005,CHITTOOR,ANDHRA PRADESH,SOUTH,June
133,01-06-2025,IBIS CA,STH-AP-5016,NELLORE,ANDHRA PRADESH,SOUTH,June
134,01-06-2025,IBIS CA,STH-AP-5328,HINDUPUR,ANDHRA PRADESH,SOUTH,June
135,01-06-2025,IBIS CA,STH-AP-5764,ADONI,ANDHRA PRADESH,SOUTH,June
136,01-06-2025,IBIS CA,STH-AP-5892,ONGOLE PRAKASAM,ANDHRA PRADESH,SOUTH,June
137,01-06-2025,IBIS CA,STH-AP-5905,GUNTUR,ANDHRA PRADESH,SOUTH,June
138,01-06-2025,IBIS CA,STH-AP-5981,ELURU,ANDHRA PRADESH,SOUTH,June
139,01-06-2025,IBIS CA,STH-KA-5038,BIDAR,KARNATAKA,SOUTH,June
140,01-06-2025,IBIS CA,STH-KA-5043,HUBBALLI,KARNATAKA,SOUTH,June
141,01-06-2025,IBIS CA,STH-KA-5424,BALLARI,KARNATAKA,SOUTH,June
142,01-06-2025,IBIS CA,STH-KA-5694,SHIVAMOGGA,KARNATAKA,SOUTH,June
143,01-06-2025,IBIS CA,STH-KA-5770,GULBARGA,KARNATAKA,SOUTH,June
144,01-06-2025,IBIS CA,STH-KL-5895,KOLLAM,KERALA,SOUTH,June
145,01-06-2025,IBIS CA,STH-TN-1718,CHENNAI,TAMIL NADU,SOUTH,June
146,01-06-2025,IBIS CA,STH-TN-5377,OOTY,TAMIL NADU,SOUTH,June
147,01-06-2025,IBIS CA,STH-TN-5736,MADURAI,TAMIL NADU,SOUTH,June
148,01-06-2025,IBIS CA,STH-TN-5760,CHENNAI,TAMIL NADU,SOUTH,June
149,01-06-2025,IBIS CA,STH-TN-5856,CHENNAI,TAMIL NADU,SOUTH,June
150,01-06-2025,IBIS CA,STH-TN-5858,TIRUNELVELI,TAMIL NADU,SOUTH,June
151,01-06-2025,IBIS CA,STH-TS-5445,KHAMMAM,TELANGANA,SOUTH,June
152,01-06-2025,IBIS CA,STH-TS-5647,NALGONDA,TELANGANA,SOUTH,June
153,01-06-2025,IBIS CA,STH-TS-5997,ADILABAD,TELANGANA,SOUTH,June
154,01-06-2025,IBIS CA,WST-CG-2012,BHILAI,CHHATTISGARH,WEST,June
155,01-06-2025,IBIS CA,WST-CG-2245,AMBIKAPUR,CHHATTISGARH,WEST,June
156,01-06-2025,IBIS CA,WST-GA-2029,PANAJI,GOA,WEST,June
157,01-06-2025,IBIS CA,WST-GJ-2055,MEHSANA,GUJARAT,WEST,June
158,01-06-2025,IBIS CA,WST-GJ-2066,VAPI,GUJARAT,WEST,June
159,01-06-2025,IBIS CA,WST-GJ-2396,BHAVNAGAR,GUJARAT,WEST,June
160,01-06-2025,IBIS CA,WST-GJ-2397,JAMNAGAR,GUJARAT,WEST,June
161,01-06-2025,IBIS CA,WST-GJ-2536,PORBANDAR,GUJARAT,WEST,June
162,01-06-2025,IBIS CA,WST-GJ-2541,AHMEDABAD,GUJARAT,WEST,June
163,01-06-2025,IBIS CA,WST-MH-2225,NANDED,MAHARASHTRA,WEST,June
164,01-06-2025,IBIS CA,WST-MH-2443,CHANDRAPUR,MAHARASHTRA,WEST,June
165,01-06-2025,IBIS CA,WST-MH-2452,MUMBAI,MAHARASHTRA,WEST,June
166,01-06-2025,IBIS CA,WST-MH-2635,NAVI MUMBAI,MAHARASHTRA,WEST,June
167,01-06-2025,IBIS CA,WST-MH-2641,MUMBAI,MAHARASHTRA,WEST,June
168,01-06-2025,IBIS CA,WST-MH-2683,RATNAGIRI,MAHARASHTRA,WEST,June
169,01-06-2025,IBIS CA,WST-MH-2736,DHULE,MAHARASHTRA,WEST,June
170,01-06-2025,IBIS CA,WST-MH-2766,MIRA ROAD,MAHARASHTRA,WEST,June
171,01-06-2025,IBIS CA,WST-MP-2071,BETUL,MADHYA PRADESH,WEST,June
172,01-06-2025,IBIS CA,WST-MP-2101,CHHINDWARA,MADHYA PRADESH,WEST,June
173,01-06-2025,IBIS CA,WST-MP-2147,JABALPUR,MADHYA PRADESH,WEST,June
174,01-06-2025,IBIS CA,WST-MP-2160,KHARGONE,MADHYA PRADESH,WEST,June
175,01-06-2025,IBIS CA,WST-MP-2170,REWA,MADHYA PRADESH,WEST,June
176,01-06-2025,IBIS CA,WST-MP-2178,SATNA,MADHYA PRADESH,WEST,June
177,01-06-2025,IBIS CA,WST-MP-2195,UJJAIN,MADHYA PRADESH,WEST,June
178,01-06-2025,IBIS CA,WST-MP-2819,SAGAR MADHYA PRADESH,MADHYA PRADESH,WEST,June
179,01-06-2025,MUDRA SPMT,NR1-UP-3554,AGRA,UTTAR PRADESH,NORTH ONE,June
180,01-06-2025,MUDRA SPMT,NR1-UP-3640,GHAZIABAD,DELHI NCR,NORTH TWO,June
181,01-06-2025,MUDRA SPMT,NR2-HR-4098,GURGAON (GURUGRAM),Delhi NCR,NORTH TWO,June
182,01-06-2025,MUDRA SPMT,NR2-HR-4622,FARIDABAD,DELHI NCR,NORTH TWO,June
183,01-06-2025,MUDRA SPMT,NR2-PB-4515,LUDHIANA,PUNJAB,NORTH TWO,June
184,01-06-2025,MUDRA SPMT,NR2-RJ-4559,UDAIPUR RAJASTHAN,RAJASTHAN,NORTH TWO,June
185,01-06-2025,MUDRA SPMT,NR2-RJ-4565,JODHPUR,RAJASTHAN,NORTH TWO,June
186,01-06-2025,MUDRA SPMT,NR2-UP-3613,NOIDA DELHI NCR,DELHI NCR,NORTH TWO,June
187,01-06-2025,MUDRA SPMT,STH-AP-5758,TIRUPATI,ANDHRA PRADESH,SOUTH,June
188,01-06-2025,MUDRA SPMT,STH-AP-5905,GUNTUR,ANDHRA PRADESH,SOUTH,June
189,01-06-2025,MUDRA SPMT,STH-KA-5139,CHENNAI,TAMIL NADU,SOUTH,June
190,01-06-2025,MUDRA SPMT,STH-KL-5743,THRISSUR,KERALA,SOUTH,June
191,01-06-2025,MUDRA SPMT,WST-GJ-2582,RAJKOT,GUJARAT,WEST,June
192,01-06-2025,MUDRA SPMT,WST-MH-1620,PIMPRI-CHINCHWAD,MAHARASHTRA,WEST,June
193,01-06-2025,MUDRA SPMT,WST-MH-2688,AURANGABAD MAHARASHTRA,MAHARASHTRA,WEST,June
194,01-06-2025,MUDRA SPMT,WST-MH-2806,VASAI,MAHARASHTRA,WEST,June
195,01-06-2025,MUDRA SPMT,WST-MP-2585,INDORE,MADHYA PRADESH,WEST,June
196,01-07-2025,MUDRA SPMT,EST-WB-1445,KOLKATA,WEST BENGAL,EAST,July
197,01-07-2025,MUDRA SPMT,NR1-BR-3470,PATNA,BIHAR,NORTH ONE,July
198,01-07-2025,MUDRA SPMT,NR1-UP-3554,AGRA,UTTAR PRADESH,NORTH ONE,July
199,01-07-2025,MUDRA SPMT,NR1-UP-3561,LUCKNOW,UTTAR PRADESH,NORTH ONE,July
200,01-07-2025,MUDRA SPMT,NR1-UP-3562,KANPUR,UTTAR PRADESH,NORTH ONE,July
201,01-07-2025,MUDRA SPMT,NR1-UP-3640,GHAZIABAD,DELHI NCR,NORTH TWO,July
202,01-07-2025,MUDRA SPMT,NR2-DL-4526,DELHI,DELHI,NORTH TWO,July
203,01-07-2025,MUDRA SPMT,NR2-HR-4098,GURGAON (GURUGRAM),Delhi NCR,NORTH TWO,July
204,01-07-2025,MUDRA SPMT,NR2-HR-4622,FARIDABAD,DELHI NCR,NORTH TWO,July
205,01-07-2025,MUDRA SPMT,NR2-PB-4515,LUDHIANA,PUNJAB,NORTH TWO,July
206,01-07-2025,MUDRA SPMT,NR2-RJ-4559,UDAIPUR RAJASTHAN,RAJASTHAN,NORTH TWO,July
207,01-07-2025,MUDRA SPMT,NR2-RJ-4561,JAIPUR,RAJASTHAN,NORTH TWO,July
208,01-07-2025,MUDRA SPMT,NR2-RJ-4565,JODHPUR,RAJASTHAN,NORTH TWO,July
209,01-07-2025,MUDRA SPMT,NR2-RJ-4573,KOTA,RAJASTHAN,NORTH TWO,July
210,01-07-2025,MUDRA SPMT,NR2-UP-3613,NOIDA DELHI NCR,DELHI NCR,NORTH TWO,July
211,01-07-2025,MUDRA SPMT,STH-AP-5751,VISAKHAPATNAM (VIZAG),ANDHRA PRADESH,SOUTH,July
212,01-07-2025,MUDRA SPMT,STH-AP-5758,TIRUPATI,ANDHRA PRADESH,SOUTH,July
213,01-07-2025,MUDRA SPMT,STH-AP-5761,VIJAYAWADA,ANDHRA PRADESH,SOUTH,July
214,01-07-2025,MUDRA SPMT,STH-AP-5905,GUNTUR,ANDHRA PRADESH,SOUTH,July
215,01-07-2025,MUDRA SPMT,STH-KL-5742,COCHIN (ERNAKULAM),KERALA,SOUTH,July
216,01-07-2025,MUDRA SPMT,STH-KL-5743,THRISSUR,KERALA,SOUTH,July
217,01-07-2025,MUDRA SPMT,STH-TN-5856,CHENNAI,TAMIL NADU,SOUTH,July
218,01-07-2025,MUDRA SPMT,STH-TN-5861,COIMBATORE,TAMIL NADU,SOUTH,July
219,01-07-2025,MUDRA SPMT,STH-TS-5719,HYDERABAD,TELANGANA,SOUTH,July
220,01-07-2025,MUDRA SPMT,WST-CG-2544,RAIPUR,CHHATTISGARH,WEST,July
221,01-07-2025,MUDRA SPMT,WST-GJ-2579,AHMEDABAD,GUJARAT,WEST,July
222,01-07-2025,MUDRA SPMT,WST-GJ-2580,VADODARA (BARODA),GUJARAT,WEST,July
223,01-07-2025,MUDRA SPMT,WST-GJ-2581,SURAT,GUJARAT,WEST,July
224,01-07-2025,MUDRA SPMT,WST-GJ-2582,RAJKOT,GUJARAT,WEST,July
225,01-07-2025,MUDRA SPMT,WST-MH-1620,PIMPRI-CHINCHWAD,MAHARASHTRA,WEST,July
226,01-07-2025,MUDRA SPMT,WST-MH-2684,MUMBAI ANDHERI,MAHARASHTRA,WEST,July
227,01-07-2025,MUDRA SPMT,WST-MH-2685,PUNE,MAHARASHTRA,WEST,July
228,01-07-2025,MUDRA SPMT,WST-MH-2686,NAGPUR,MAHARASHTRA,WEST,July
229,01-07-2025,MUDRA SPMT,WST-MH-2687,NASHIK,MAHARASHTRA,WEST,July
230,01-07-2025,MUDRA SPMT,WST-MH-2688,AURANGABAD MAHARASHTRA,MAHARASHTRA,WEST,July
231,01-07-2025,MUDRA SPMT,WST-MH-2690,NAVI MUMBAI,MAHARASHTRA,WEST,July
232,01-07-2025,MUDRA SPMT,WST-MH-2806, MUMBAI VIRAR,MAHARASHTRA,WEST,July
233,01-07-2025,MUDRA SPMT,WST-MP-2585,INDORE,MADHYA PRADESH,WEST,July
234,01-07-2025,MUDRA SPMT,WST-MP-2589,BHOPAL,MADHYA PRADESH,WEST,July
235,01-08-2025,DENMARK,NEW DELHI - BASE HOSPITAL DELHI CANTT,DELHI,DELHI,NORTH TWO,August
236,01-08-2025,MUDRA SPMT,EST-WB-1445,KOLKATA,WEST BENGAL,EAST,August
237,01-08-2025,MUDRA SPMT,NR1-BR-3470,PATNA,BIHAR,NORTH ONE,August
238,01-08-2025,MUDRA SPMT,NR1-UP-3554,AGRA,UTTAR PRADESH,NORTH ONE,August
239,01-08-2025,MUDRA SPMT,NR1-UP-3561,LUCKNOW,UTTAR PRADESH,NORTH ONE,August
240,01-08-2025,MUDRA SPMT,NR1-UP-3562,KANPUR,UTTAR PRADESH,NORTH ONE,August
241,01-08-2025,MUDRA SPMT,NR1-UP-3640,GHAZIABAD,DELHI NCR,NORTH TWO,August
242,01-08-2025,MUDRA SPMT,NR2-DL-4526,DELHI,DELHI,NORTH TWO,August
243,01-08-2025,MUDRA SPMT,NR2-HR-4098,GURGAON (GURUGRAM),Delhi NCR,NORTH TWO,August
244,01-08-2025,MUDRA SPMT,NR2-HR-4622,FARIDABAD,DELHI NCR,NORTH TWO,August
245,01-08-2025,MUDRA SPMT,NR2-PB-4514,CHANDIGARH,PUNJAB,NORTH TWO,August
246,01-08-2025,MUDRA SPMT,NR2-PB-4515,LUDHIANA,PUNJAB,NORTH TWO,August
247,01-08-2025,MUDRA SPMT,NR2-RJ-4559,UDAIPUR RAJASTHAN,RAJASTHAN,NORTH TWO,August
248,01-08-2025,MUDRA SPMT,NR2-RJ-4561,JAIPUR,RAJASTHAN,NORTH TWO,August
249,01-08-2025,MUDRA SPMT,NR2-RJ-4565,JODHPUR,RAJASTHAN,NORTH TWO,August
250,01-08-2025,MUDRA SPMT,NR2-RJ-4573,KOTA,RAJASTHAN,NORTH TWO,August
251,01-08-2025,MUDRA SPMT,NR2-UP-3613,NOIDA DELHI NCR,DELHI NCR,NORTH TWO,August
252,01-08-2025,MUDRA SPMT,STH-AP-5751,VISAKHAPATNAM (VIZAG),ANDHRA PRADESH,SOUTH,August
253,01-08-2025,MUDRA SPMT,STH-AP-5758,TIRUPATI,ANDHRA PRADESH,SOUTH,August
254,01-08-2025,MUDRA SPMT,STH-AP-5761,VIJAYAWADA,ANDHRA PRADESH,SOUTH,August
255,01-08-2025,MUDRA SPMT,STH-AP-5905,GUNTUR,ANDHRA PRADESH,SOUTH,August
256,01-08-2025,MUDRA SPMT,STH-KA-5817,BENGALURU,KARNATAKA,SOUTH,August
257,01-08-2025,MUDRA SPMT,STH-KL-5742,COCHIN (ERNAKULAM),KERALA,SOUTH,August
258,01-08-2025,MUDRA SPMT,STH-KL-5743,THRISSUR,KERALA,SOUTH,August
259,01-08-2025,MUDRA SPMT,STH-KL-5745,KOZHIKODE (CALICUT),KERALA,SOUTH,August
260,01-08-2025,MUDRA SPMT,STH-TN-5856,CHENNAI,TAMIL NADU,SOUTH,August
261,01-08-2025,MUDRA SPMT,STH-TN-5861,COIMBATORE,TAMIL NADU,SOUTH,August
262,01-08-2025,MUDRA SPMT,STH-TS-5719,HYDERABAD,TELANGANA,SOUTH,August
263,01-08-2025,MUDRA SPMT,WST-CG-2544,RAIPUR,CHHATTISGARH,WEST,August
264,01-08-2025,MUDRA SPMT,WST-GJ-2580,VADODARA (BARODA),GUJARAT,WEST,August
265,01-08-2025,MUDRA SPMT,WST-GJ-2582,RAJKOT,GUJARAT,WEST,August
266,01-08-2025,MUDRA SPMT,WST-MH-1620,PIMPRI-CHINCHWAD,MAHARASHTRA,WEST,August
267,01-08-2025,MUDRA SPMT,WST-MH-2684,MUMBAI ANDHERI,MAHARASHTRA,WEST,August
